Designator,Package,Quantity,Part,Digi-Key Part
"Q3,Q2,Q1",TO220GDS_VERT,3,IRF510,IRF510PBF-ND
Y1,SIL-3,1,16MHz,490-1214-ND
"J1, J2",RJ45_8,2,8P8C,609-1046-ND
R14,R3-5,1,100 1/2W,100H-ND
"R2,R5,R9,R13,R6,R1,R11,R8",R3,8,1k,1.0KQBK-ND
"R7,R4,R3,R10,R15,R12",R3,6,10k,10KQBK-ND
R16,R3,1,120,120QBK-ND
"D2, D3",LED-3MM,2,RED 3MM,754-1606-ND
"D5, D9",LED-3MM,2,GREEN 3MM,754-1603-ND
D7,LED-3MM,1,BLUE 3MM,754-1596-ND
U6,DIP-8__300,1,SN75176,296-1739-5-ND
"U2,U1,U3",DIP-6__300,3,4N35,516-1557-5-ND
"XU1, XU2, XU3",DIP-6 socket,3,6DIP,A100203-ND
"D1,D4,D8,D6",D3,4,1N4004,641-1311-1-ND
"C2,C6,C1,C5",C2,4,0.1uF,490-5388-ND
"C4,C3",C1V5,2,47uF,P13464-ND
U5,TO220,1,LM7805,LM7805CT-ND
U4,DIP-28__300,1,ATMEGA328,ATMEGA328P-PU-ND
"P1, P7",5MMSCREWTERM,2,5MM SCREW TERM,ED2600-ND
"JP1, P2, P6","SIL-2, SIL6, SIL-4",12,header pins,A34253-40-ND
